type,category,percent,value,source,,,,
Cardiovascular Disease,Coronary Heart Disease,41.20,382630,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001123#F14-4,,382629.756,,
Cardiovascular Disease,Stroke,17.30,160262,,,,,
Cardiovascular Disease,Other Heart Disease,16.80,156024,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001123#F14-8,,156023.784,,
Cardiovascular Disease,High Blood Pressure,12.90,119804,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001123#F14-5,,119803.977,,
Cardiovascular Disease,Heart Failure,9.20,85442,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001123#F14-6,,85441.596,,
Cardiovascular Disease,Diseases of the Arteries,2.60,24147,https://www.ahajournals.org/doi/10.1161/CIR.0000000000001123#F14-7,,24146.538,,
Cancer,Lung and Bronchus,,135720,Cancer Facts & Figures 2020,,,,
Cancer,Colon and Rectum,,53200,Cancer Facts & Figures 2020,,768045.651,,
Cancer,Pancreas,,47050,Cancer Facts & Figures 2020,,,,
Cancer,Breast,,42690,Cancer Facts & Figures 2020,,,,
Cancer,Prostate,,33330,Cancer Facts & Figures 2020,,,,
Cancer,Liver and Intrahepatic Bile Duct,,30160,Cancer Facts & Figures 2020,,135720,135720,
Cancer,Leukemias,,23100,Cancer Facts & Figures 2020,,53200,53200,
Cancer,Non-Hodgkin Lymphoma,,19940,Cancer Facts & Figures 2020,,47050,47050,
Cancer,Brain and Other Nervous System,,18020,Cancer Facts & Figures 2020,,42690,42690,
Cancer,Urinary Bladder,,17980,Cancer Facts & Figures 2020,,33330,33330,
Cancer,Other Cancer,,185330,Cancer Facts & Figures 2020,,30160,30160,
COVID-19,COVID-19,,350831,https://www.cdc.gov/nchs/data/databriefs/db427-tables.pdf#4,,23100,23100,
Unintentional Injuries,,,200955,https://www.cdc.gov/nchs/data/databriefs/db427-tables.pdf#4,,19940,19940,
Chronic Lower Respiratory Diseases,,,152657,https://www.cdc.gov/nchs/data/databriefs/db427-tables.pdf#4,,18020,18020,
Alzheimer Disease,,,134242,https://www.cdc.gov/nchs/data/databriefs/db427-tables.pdf#4,,17980,17980,
Diabetes,,,102188,https://www.cdc.gov/nchs/data/databriefs/db427-tables.pdf#4,,0,421190,185330
Influenza and Pneumonia,,,53544,https://www.cdc.gov/nchs/data/databriefs/db427-tables.pdf#4,,,,
Kidney Disease,,,52547,https://www.cdc.gov/nchs/data/databriefs/db427-tables.pdf#4,,,,
