date,value
03-07-2020,3
03-14-2020,24
03-21-2020,159
03-28-2020,412
04-04-2020,307
04-11-2020,466
04-18-2020,582
04-25-2020,817
05-02-2020,367
05-09-2020,186
05-16-2020,112
05-23-2020,66
05-30-2020,66
06-06-2020,74
06-13-2020,111
06-20-2020,102
06-27-2020,90
07-04-2020,151
07-11-2020,177
07-18-2020,228
07-25-2020,162
08-01-2020,161
08-08-2020,163
08-15-2020,127
08-22-2020,105
08-29-2020,98
09-05-2020,96
09-12-2020,76
09-19-2020,65
09-26-2020,66
10-03-2020,71
10-10-2020,92
10-17-2020,135
10-24-2020,174
10-31-2020,207
11-07-2020,300
11-14-2020,478
11-21-2020,558
11-28-2020,625
12-05-2020,621
12-12-2020,692
12-19-2020,740
12-26-2020,715
01-02-2021,710
01-09-2021,813
01-16-2021,659
01-23-2021,503
01-30-2021,402
02-06-2021,304
02-13-2021,220
02-20-2021,184
02-27-2021,182
03-06-2021,197
03-13-2021,188
03-20-2021,171
03-27-2021,183
04-03-2021,201
04-10-2021,203
04-17-2021,176
04-24-2021,143
05-01-2021,114
05-08-2021,82
05-15-2021,71
05-22-2021,58
05-29-2021,40
06-05-2021,42
06-12-2021,54
06-19-2021,59
06-26-2021,64
07-03-2021,67
07-10-2021,84
07-17-2021,121
07-24-2021,204
07-31-2021,315
08-07-2021,409
08-14-2021,451
08-21-2021,494
08-28-2021,651
09-04-2021,760
09-11-2021,694
09-18-2021,598
09-25-2021,487
10-02-2021,489
10-09-2021,477
10-16-2021,409
10-23-2021,404
10-30-2021,485
11-06-2021,506
11-13-2021,564
11-20-2021,686
11-27-2021,919
12-04-2021,1187
12-11-2021,1204
12-18-2021,1531
12-25-2021,2808
01-01-2022,4555
01-08-2022,4529
01-15-2022,3419
01-22-2022,2112
01-29-2022,1412
02-05-2022,861
02-12-2022,418
02-19-2022,233
02-26-2022,157
03-05-2022,122
03-12-2022,111
03-19-2022,118
03-26-2022,124
04-02-2022,172
04-09-2022,242
04-16-2022,299
04-23-2022,345
04-30-2022,425
05-07-2022,497
05-14-2022,649
05-21-2022,736
05-28-2022,747
06-04-2022,766
06-11-2022,793
06-18-2022,789
06-25-2022,827
07-02-2022,854
07-09-2022,1005
07-16-2022,1142
07-23-2022,1142
07-30-2022,1039
08-06-2022,921
08-13-2022,794
08-20-2022,716
08-27-2022,693
09-03-2022,745
09-10-2022,786
09-17-2022,753
09-24-2022,693
10-01-2022,640
10-08-2022,613
10-15-2022,651
10-22-2022,623
10-29-2022,536
11-05-2022,544
11-12-2022,555
11-19-2022,610
11-26-2022,723
12-03-2022,910
12-10-2022,956
12-17-2022,996
12-24-2022,1086
12-31-2022,1160
01-07-2023,1059
01-14-2023,828
01-21-2023,759
01-28-2023,720
02-04-2023,687
02-11-2023,667
02-18-2023,619
02-25-2023,525
03-04-2023,443
03-11-2023,387
03-18-2023,366
03-25-2023,382
04-01-2023,287
04-08-2023,269
04-15-2023,246
04-22-2023,223
04-29-2023,236
05-06-2023,238
05-13-2023,234
05-20-2023,225
05-27-2023,200
06-03-2023,188
06-10-2023,178
06-17-2023,168
06-24-2023,165
07-01-2023,198
07-08-2023,219
07-15-2023,252
07-22-2023,280
07-29-2023,339
08-05-2023,407
08-12-2023,491
08-19-2023,523
08-26-2023,556
09-02-2023,640
09-09-2023,638
09-16-2023,580
09-23-2023,505
09-30-2023,497
10-07-2023,473
10-14-2023,392
10-21-2023,376
10-28-2023,396
11-04-2023,424
11-11-2023,450
11-18-2023,491
11-25-2023,582
12-02-2023,722
12-09-2023,767
12-16-2023,872
12-23-2023,1085
12-30-2023,1336
01-06-2024,1398
