age,item,micromorts,coins,triesUntil50,triesUntil95,frequency,isInstance,source
0,0,0,0,0,0,0,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
1,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
2,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
3,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
4,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
5,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
6,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
7,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
8,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
9,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
10,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
11,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
12,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
13,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
14,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
15,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
16,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
17,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
18,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
19,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
20,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
21,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
22,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
23,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
24,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
25,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
26,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
27,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
28,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
29,Surviving the Day,1,19.93156857,693146.834,2995730.776,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
30,Surviving the Day,2,18.93156857,346573.2437,1497864.639,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
31,Surviving the Day,2,18.93156857,346573.2437,1497864.639,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
32,Surviving the Day,2,18.93156857,346573.2437,1497864.639,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
33,Surviving the Day,2,18.93156857,346573.2437,1497864.639,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
34,Surviving the Day,2,18.93156857,346573.2437,1497864.639,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
35,Surviving the Day,2,18.93156857,346573.2437,1497864.639,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
36,Surviving the Day,2,18.93156857,346573.2437,1497864.639,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
37,Surviving the Day,2,18.93156857,346573.2437,1497864.639,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
38,Surviving the Day,2,18.93156857,346573.2437,1497864.639,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
39,Surviving the Day,2,18.93156857,346573.2437,1497864.639,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
40,Surviving the Day,3,18.34660607,231048.7136,998575.9267,per day,TRUE,https://nc233.com/2020/03/micromorts-how-much-risk-of-death-would-you-accept/
