Country,BMI,COVIDdeathsp1M,cigspypp,WHOlifeexpb,COVIDtestsp1M,COVIDcasesp1M,precip,temp
Afghanistan,21.6,189,311.6,63.2,21160,3925,327,12.6
Albania,26.1,1215,2491.6,78.0,569929,71662,1485,11.4
Algeria,26.2,152,1046.7,77.1,5119,4773,89,22.5
Andorra,27.5,1975,6398.3,-,3225381,271957,-,7.6
Angola,24.1,55,340.2,63.1,40024,1923,1010,21.55
"Antigua and Barbuda",28.1,1359,89.2,76.5,190517,42354,1030,26.0
Argentina,27.7,2783,1176.1,76.6,708534,117785,591,14.8
Armenia,26.7,2895,1985.7,76.0,917563,115785,562,7.15
Australia,27.2,225,917.0,83.0,2346981,9994,534,21.65
Austria,25.4,1717,1927.0,81.6,15602507,138074,1110,6.35
Azerbaijan,27.4,939,1525.6,71.4,597967,59465,447,11.95
Bahamas,28.8,1969,438.6,73.2,524011,57960,1292,24.85
Bahrain,28.2,813,1101.5,75.8,4876138,155808,83,27.15
Bangladesh,21.0,174,744.1,74.3,74327,9465,2666,25.0
Barbados,28.7,1142,277.5,76.0,1858859,94543,1422,26.0
Belarus,26.6,717,2911.3,74.8,1237917,72664,618,6.15
Belgium,25.5,2626,2440.9,81.4,2569422,172944,847,9.55
Belize,28.9,1595,168.6,74.4,1115913,76662,1705,25.3
Benin,23.4,13,204.0,63.4,47871,1979,1039,27.55
Bhutan,23.8,11,-,73.1,1851402,3390,2200,7.4
Bolivia,25.9,1798,291.6,72.1,222502,47587,1146,21.55
"Bosnia and Herzegovina",26.1,4838,1767.2,76.8,498187,87892,1028,9.85
Botswana,24.7,1076,433.5,62.2,835311,84546,416,21.5
Brazil,25.9,3060,333.5,75.9,296709,103437,1761,24.95
Brunei,26.2,450,9.7,74.3,1585481,34755,2722,26.85
Bulgaria,26.0,5307,1757.3,75.1,1229280,105767,608,10.6
"Burkina Faso",22.1,17,408.1,62.7,11168,767,748,28.29
Burundi,20.9,3,239.4,63.8,27773,1824,1274,19.8
Cambodia,21.9,178,726.2,70.1,163817,7060,1904,26.8
Cameroon,24.4,70,171.0,62.4,63498,3926,1604,24.6
Canada,27.2,975,1021.3,82.2,1469709,49610,537,-5.35
"Cape Verde",24.7,708,397.1,74.0,707957,98767,228,23.30
"Central African Republic",22.4,23,213.2,53.1,16382,2415,1343,23.3
Chad,22.3,11,279.3,59.6,11145,333,322,26.55
Chile,27.8,2894,769.3,80.7,1539120,92669,1522,8.45
China,23.9,3,2043.0,77.4,111163,70,645,6.95
Colombia,25.9,2693,351.4,79.3,620628,98862,3240,24.5
Comoros,24.1,177,585.4,67.4,-,5216,900,25.55
Congo,23.3,67,195.2,64.7,59474,3355,1646,-
"Costa Rica",26.9,1597,411.4,80.8,627792,110132,2926,24.8
Croatia,25.5,3815,1578.9,78.6,1039918,166793,1113,10.9
Cuba,26.2,752,233.5,77.8,1118993,85207,1335,25.2
Cyprus,27.0,758,1961.4,83.1,7760297,119644,498,18.45
"Czech Republic",26.9,3676,2427.9,79.1,4663361,224958,677,7.55
Denmark,25.3,951,1298.0,81.3,20508953,109996,703,7.5
Djibouti,23.3,187,785.5,65.8,270682,13416,220,28.0
Dominica,27.0,871,147.4,-,2023593,88999,2083,22.35
"Dominican Republic",26.7,396,218.9,72.8,267506,37419,1410,24.55
"DR Congo",22.2,14,128.0,62.4,9022,719,1543,24.0
"East Timor",21.2,95,-,69.6,166690,14634,1500,25.3
Ecuador,27.0,1956,93.5,78.4,133147,29776,2274,21.85
Egypt,29.2,231,1449.4,71.8,35048,3578,18,22.1
"El Salvador",27.4,629,206.7,75.0,248275,18599,1784,24.45
"Equatorial Guinea",25.6,123,328.2,62.2,185304,9261,2156,24.55
Eritrea,20.5,28,132.3,64.1,6538,2150,384,25.5
Estonia,25.5,1829,1759.9,78.9,2128255,175749,626,5.1
Ethiopia,20.6,62,115.3,68.7,36347,3165,848,22.2
Fiji,27.2,919,491.1,68.0,541537,58115,2592,24.4
Finland,25.9,537,1098.8,81.6,1691974,39848,536,1.7
